"Date","Price","Open","High","Low","Vol.","Change %"
"25-12-2024","23,815.00","23,889.00","23,889.00","23,804.50","2.20K","0.18%"
"24-12-2024","23,773.00","23,762.00","23,880.50","23,713.50","61.84K","0.01%"
"23-12-2024","23,769.50","23,798.00","23,898.50","23,655.50","134.22K","0.56%"
"20-12-2024","23,636.00","23,934.50","24,073.00","23,561.50","118.49K","-1.54%"
"19-12-2024","24,006.50","23,885.50","24,070.50","23,851.00","65.27K","-1.02%"
"18-12-2024","24,254.50","24,351.50","24,450.00","23,847.50","42.28K","-0.72%"
"17-12-2024","24,430.00","24,687.50","24,689.00","24,310.00","54.93K","-1.12%"
"16-12-2024","24,706.50","24,798.50","24,825.50","24,648.50","48.10K","-0.69%"
"13-12-2024","24,877.50","24,537.50","24,885.00","24,216.00","75.22K","0.94%"
"12-12-2024","24,646.00","24,749.50","24,766.00","24,528.50","36.77K","-0.36%"
"11-12-2024","24,734.50","24,659.00","24,791.50","24,651.50","33.12K","0.20%"
"10-12-2024","24,685.50","24,716.00","24,761.50","24,592.50","36.05K","-0.08%"
"09-12-2024","24,705.50","24,739.50","24,820.50","24,648.00","41.63K","-0.25%"
"06-12-2024","24,768.00","24,812.50","24,845.50","24,693.50","42.39K","0.01%"
"05-12-2024","24,765.00","24,489.00","24,930.50","24,383.50","82.07K","0.89%"
"04-12-2024","24,545.50","24,525.50","24,664.50","24,435.50","40.42K","0.05%"
"03-12-2024","24,533.50","24,493.00","24,594.00","24,393.50","42.30K","0.46%"
"02-12-2024","24,422.00","24,411.50","24,480.50","24,172.50","48.30K","0.49%"
"29-11-2024","24,303.50","24,156.50","24,442.50","24,108.00","53.06K","1.63%"
"28-11-2024","23,914.15","24,299.00","24,362.50","23,837.00","50.07K","-1.61%"
"27-11-2024","24,304.50","24,260.00","24,386.00","24,159.00","49.25K","0.36%"
"26-11-2024","24,218.50","24,364.00","24,365.50","24,138.00","85.70K","-0.54%"
"25-11-2024","24,349.00","24,129.50","24,381.50","24,126.50","122.28K","2.07%"
"22-11-2024","23,854.50","23,466.00","24,050.00","23,380.00","84.58K","2.17%"
"21-11-2024","23,348.00","23,637.00","23,642.00","23,276.50","64.26K","-1.37%"
"20-11-2024","23,671.50","23,658.00","23,744.00","23,604.50","18.09K","0.63%"
"19-11-2024","23,522.50","23,528.50","23,850.00","23,480.00","63.38K","-0.01%"
"18-11-2024","23,524.00","23,486.00","23,635.00","23,382.50","61.04K","-0.20%"
"15-11-2024","23,571.50","23,650.00","23,677.00","23,404.00","18.86K","-0.29%"
"14-11-2024","23,641.00","23,640.50","23,752.50","23,559.00","50.24K","-0.01%"
"13-11-2024","23,643.50","23,899.00","23,938.00","23,595.00","59.36K","-1.23%"
"12-11-2024","23,938.00","24,225.00","24,312.00","23,855.50","46.75K","-1.17%"
"11-11-2024","24,221.50","24,133.00","24,428.00","24,085.00","43.00K","0.09%"
"08-11-2024","24,199.00","24,331.50","24,378.00","24,105.50","47.75K","-0.33%"
"07-11-2024","24,278.50","24,477.00","24,557.00","24,203.00","53.54K","-1.20%"
"06-11-2024","24,572.50","24,389.00","24,665.00","24,209.50","56.59K","1.25%"
"05-11-2024","24,269.50","24,118.50","24,328.50","23,979.00","43.69K","0.61%"
"04-11-2024","24,121.50","24,225.50","24,357.50","23,881.00","63.20K","-0.76%"
"01-11-2024","24,305.50","24,394.00","24,433.00","24,301.00","9.12K","0.41%"
"31-10-2024","24,205.35","24,295.50","24,331.00","24,180.00","29.10K","-0.69%"
"30-10-2024","24,373.50","24,442.50","24,512.00","24,294.00","59.05K","-0.31%"
"29-10-2024","24,450.00","24,529.00","24,536.50","24,158.00","84.40K","0.48%"
"28-10-2024","24,332.00","24,145.00","24,495.50","24,145.00","103.04K","0.50%"
"25-10-2024","24,210.00","24,445.00","24,469.00","24,065.00","88.26K","-1.03%"
