Date,Price,Open,High,Low,Vol.,Change %
06/11/2024,49705.75,49751.2,49970.3,49530.45,128.46M,-0.15%
06/10/2024,49780.9,49808.15,50252.95,49622.75,195.78M,-0.04%
06/07/2024,49803.2,49316.95,49943.2,49080.45,170.27M,1.04%
06/06/2024,49291.9,49426.4,49672.75,48906.75,250.40M,0.48%
06/05/2024,49054.6,47486.6,49362.9,46446.8,546.76M,4.53%
06/04/2024,46928.6,50667.05,50667.05,46077.85,653.14M,-7.95%
06/03/2024,50979.95,50889.85,51133.2,50092.65,453.25M,4.07%
05/31/2024,48983.95,48895.15,49122.55,48569.05,303.63M,0.62%
05/30/2024,48682.35,48313.6,49044.6,48313.6,151.04M,0.37%
05/29/2024,48501.35,48786.7,49022.6,48401.55,183.59M,-1.30%
05/28/2024,49142.15,49390.9,49511.15,49043.65,155.17M,-0.28%
05/27/2024,49281.8,49105.9,49688.85,49051.25,226.53M,0.63%
05/24/2024,48971.65,48668,49052.95,48644.8,135.01M,0.42%
05/23/2024,48768.6,47899.35,48829.7,47873.15,184.46M,2.06%
05/22/2024,47781.95,48113.9,48114.05,47435.25,204.87M,-0.55%
05/21/2024,48048.2,47927.1,48259.75,47927.1,166.75M,-0.31%
05/18/2024,48199.5,48197.3,48222.35,48108.15,19.23M,0.17%
05/17/2024,48115.65,47842.95,48188.65,47758.8,143.82M,0.29%
05/16/2024,47977.05,47945.85,48052.9,47340.35,219.94M,0.61%
05/15/2024,47687.45,47923.1,47957.2,47534.5,188.78M,-0.36%
05/14/2024,47859.45,47748.85,47937.25,47607.85,151.96M,0.22%
05/13/2024,47754.1,47389.8,47841.6,46983.25,220.87M,0.70%
05/10/2024,47421.1,47555.5,47868.7,47313.35,218.85M,-0.14%
05/09/2024,47487.9,47976.35,48258.65,47440.65,272.91M,-1.11%
05/08/2024,48021.1,48124.2,48223.05,47851.15,286.04M,-0.55%
05/07/2024,48285.35,48965.05,49023.5,48213.75,230.31M,-1.25%
05/06/2024,48895.3,49174.55,49252.65,48784,340.19M,-0.06%
05/03/2024,48923.55,49375.05,49607.75,48659.7,222.96M,-0.62%
05/02/2024,49231.05,49262,49529.35,49123.6,291.86M,-0.34%
04/30/2024,49396.75,49477.1,49974.75,49249.9,402.87M,-0.06%
04/29/2024,49424.05,48359.9,49473.6,48342.7,327.13M,2.54%
04/26/2024,48201.05,48660,48679.65,48088.25,208.12M,-0.61%
04/25/2024,48494.95,47772.65,48625.45,47737.2,337.41M,0.63%
04/24/2024,48189,48120.9,48246.2,48028.7,112.16M,0.46%
